Regija,YearMonth,SO2,PM10,NO2
Zasavska,2006-05,7.857142857142857,31.666666666666668,15.5
Savinjska,2006-05,5.666666666666667,26.666666666666668,7.5
Osrednjeslovenska,2006-05,4.0,23.5,11.0
Jugovzhodna Slovenija,2006-05,,15.0,
Jugovzhodna Slovenija,2006-06,,19.0,
Pomurska,2006-06,8.0,29.0,9.0
Podravska,2006-06,6.0,39.0,37.0
Obalno-kraška,2006-06,,43.0,
Savinjska,2006-06,7.777777777777778,30.333333333333332,8.0
Zasavska,2006-06,9.142857142857142,37.0,15.0
Goriška,2006-06,2.0,36.0,19.0
Osrednjeslovenska,2006-06,3.0,27.0,11.0
Posavska,2006-06,20.0,29.0,
Koroška,2006-06,4.0,,
Posavska,2006-07,26.5,26.0,
Osrednjeslovenska,2006-07,3.0,29.0,11.0
Obalno-kraška,2006-07,,40.0,
Jugovzhodna Slovenija,2006-07,,18.0,
Zasavska,2006-07,8.142857142857142,34.333333333333336,16.5
Koroška,2006-07,4.0,,
Goriška,2006-07,2.0,32.0,15.0
Savinjska,2006-07,6.777777777777778,26.666666666666668,8.75
Podravska,2006-07,6.0,38.0,33.0
Pomurska,2006-07,9.0,29.0,9.0
Savinjska,2006-08,5.111111111111111,18.666666666666668,7.0
Osrednjeslovenska,2006-08,2.0,18.5,13.0
Zasavska,2006-08,5.285714285714286,23.0,15.0
Obalno-kraška,2006-08,,30.0,
Pomurska,2006-08,4.0,17.0,10.0
Podravska,2006-08,4.0,28.0,28.0
Goriška,2006-08,1.0,24.0,16.0
Koroška,2006-08,4.0,,
Posavska,2006-08,17.0,16.0,
Jugovzhodna Slovenija,2006-08,,10.0,
Goriška,2006-09,3.0,30.0,20.0
Savinjska,2006-09,6.777777777777778,31.0,9.75
Posavska,2006-09,2.5,29.0,
Koroška,2006-09,3.0,,
Pomurska,2006-09,7.0,32.0,11.0
Podravska,2006-09,3.0,43.0,38.0
Osrednjeslovenska,2006-09,4.5,29.5,15.0
Zasavska,2006-09,6.571428571428571,35.666666666666664,14.5
Jugovzhodna Slovenija,2006-09,,16.0,
Obalno-kraška,2006-09,,37.0,
