Postaja,Regija,Leto,Mesec,PM10,SO2,NO2,NOX
mb vrbanski,Podravska,2018,Maj,19.0,,9.0,11.0
medvode,Osrednjeslovenska,2018,Maj,19.0,,,
miklavz,Podravska,2018,Maj,20.0,,,
morsko,Goriška,2018,Maj,15.0,,,
ms cankarjeva,Pomurska,2018,Maj,19.0,,,
ms rakican,Pomurska,2018,Maj,17.0,,8.0,14.0
ng grcna,Goriška,2018,Maj,20.0,,,
nova gorica,Goriška,2018,Maj,17.0,,21.0,30.0
novo mesto,Jugovzhodna Slovenija,2018,Maj,24.0,,,
pesje,Posavska,2018,Maj,18.0,8.0,,
ptuj,Podravska,2018,Maj,19.0,,,
ruse,Podravska,2018,Maj,17.0,,,
skale,Savinjska,2018,Maj,16.0,3.0,4.0,5.0
sostanj,Savinjska,2018,Maj,17.0,3.0,8.0,15.0
sv. mohor,Savinjska,2018,Maj,,5.0,4.0,5.0
topolsica,Savinjska,2018,Maj,,6.0,,
trbovlje,Zasavska,2018,Maj,17.0,5.0,13.0,21.0
velenje,Savinjska,2018,Maj,16.0,4.0,,
veliki vrh,Savinjska,2018,Maj,,10.0,,
vnajnarje,Osrednjeslovenska,2018,Maj,,,,
zagorje,Zasavska,2018,Maj,20.0,4.0,15.0,23.0
zavodnje,Savinjska,2018,Maj,,4.0,4.0,5.0
zerjav,Koroška,2018,Maj,20.0,,,
ce gaji,Savinjska,2018,Jun,14.0,6.0,11.0,18.0
ce mariborska,Savinjska,2018,Jun,18.0,,,
celje,Savinjska,2018,Jun,16.0,8.0,17.0,22.0
gorenje polje,Goriška,2018,Jun,14.0,,,
graska gora,Koroška,2018,Jun,,4.0,,
hrastnik,Zasavska,2018,Jun,14.0,1.0,,
iskrba,Jugovzhodna Slovenija,2018,Jun,13.0,1.0,1.0,
koper,Obalno-kraška,2018,Jun,14.0,,13.0,15.0
kranj,Gorenjska,2018,Jun,13.0,,,
lj bezigrad,Osrednjeslovenska,2018,Jun,19.0,2.0,17.0,22.0
lj biotehniska,Osrednjeslovenska,2018,Jun,15.0,,,
lj center,Osrednjeslovenska,2018,Jun,25.0,0.0,24.0,71.0
lj gospodarsko,Osrednjeslovenska,2018,Jun,14.0,,,
maribor,Podravska,2018,Jun,19.0,,15.0,36.0
mb vrbanski,Podravska,2018,Jun,17.0,,8.0,10.0
medvode,Osrednjeslovenska,2018,Jun,18.0,,,
miklavz,Podravska,2018,Jun,18.0,,,
morsko,Goriška,2018,Jun,12.0,,,
ms cankarjeva,Pomurska,2018,Jun,14.0,,,
ms rakican,Pomurska,2018,Jun,15.0,,6.0,11.0
ng grcna,Goriška,2018,Jun,17.0,,,
nova gorica,Goriška,2018,Jun,14.0,,19.0,27.0
novo mesto,Jugovzhodna Slovenija,2018,Jun,15.0,,,
pesje,Posavska,2018,Jun,16.0,9.0,,
ptuj,Podravska,2018,Jun,17.0,,,
ruse,Podravska,2018,Jun,14.0,,,
skale,Savinjska,2018,Jun,14.0,3.0,4.0,3.0
sostanj,Savinjska,2018,Jun,16.0,3.0,9.0,22.0
sv. mohor,Savinjska,2018,Jun,,6.0,3.0,4.0
topolsica,Savinjska,2018,Jun,,3.0,,
trbovlje,Zasavska,2018,Jun,14.0,6.0,10.0,15.0
velenje,Savinjska,2018,Jun,13.0,5.0,,
veliki vrh,Savinjska,2018,Jun,,14.0,,
vnajnarje,Osrednjeslovenska,2018,Jun,,,,
zagorje,Zasavska,2018,Jun,17.0,4.0,15.0,22.0
zavodnje,Savinjska,2018,Jun,,3.0,3.0,3.0
zerjav,Koroška,2018,Jun,15.0,,,
ce gaji,Savinjska,2018,Jul,13.0,6.0,10.0,24.0
ce mariborska,Savinjska,2018,Jul,17.0,,,
celje,Savinjska,2018,Jul,16.0,9.0,16.0,20.0
gorenje polje,Goriška,2018,Jul,14.0,,,
graska gora,Koroška,2018,Jul,,5.0,,
hrastnik,Zasavska,2018,Jul,14.0,1.0,,
iskrba,Jugovzhodna Slovenija,2018,Jul,13.0,0.0,1.0,
koper,Obalno-kraška,2018,Jul,15.0,,13.0,14.0
kranj,Gorenjska,2018,Jul,14.0,,,
lj bezigrad,Osrednjeslovenska,2018,Jul,19.0,2.0,17.0,21.0
lj biotehniska,Osrednjeslovenska,2018,Jul,15.0,,,
lj center,Osrednjeslovenska,2018,Jul,25.0,1.0,,
lj gospodarsko,Osrednjeslovenska,2018,Jul,15.0,,,
maribor,Podravska,2018,Jul,16.0,,13.0,30.0
mb vrbanski,Podravska,2018,Jul,16.0,,7.0,9.0
medvode,Osrednjeslovenska,2018,Jul,19.0,,,
miklavz,Podravska,2018,Jul,19.0,,,
morsko,Goriška,2018,Jul,13.0,,,
ms cankarjeva,Pomurska,2018,Jul,15.0,,,
ms rakican,Pomurska,2018,Jul,16.0,,7.0,11.0
ng grcna,Goriška,2018,Jul,16.0,,,
nova gorica,Goriška,2018,Jul,14.0,,20.0,28.0
novo mesto,Jugovzhodna Slovenija,2018,Jul,14.0,,,
pesje,Posavska,2018,Jul,16.0,1.0,,
ptuj,Podravska,2018,Jul,18.0,,,
ruse,Podravska,2018,Jul,15.0,,,
skale,Savinjska,2018,Jul,15.0,2.0,4.0,2.0
sostanj,Savinjska,2018,Jul,17.0,2.0,9.0,21.0
sv. mohor,Savinjska,2018,Jul,,5.0,3.0,4.0
topolsica,Savinjska,2018,Jul,,3.0,,
trbovlje,Zasavska,2018,Jul,14.0,3.0,10.0,12.0
velenje,Savinjska,2018,Jul,14.0,6.0,,
veliki vrh,Savinjska,2018,Jul,,9.0,,
vnajnarje,Osrednjeslovenska,2018,Jul,,,,
zagorje,Zasavska,2018,Jul,19.0,4.0,13.0,19.0
zavodnje,Savinjska,2018,Jul,,1.0,3.0,4.0
zerjav,Koroška,2018,Jul,16.0,,,
ce gaji,Savinjska,2018,Avg,19.0,9.0,8.0,37.0
ce mariborska,Savinjska,2018,Avg,21.0,,,
celje,Savinjska,2018,Avg,19.0,5.0,17.0,23.0
gorenje polje,Goriška,2018,Avg,12.0,,,
graska gora,Koroška,2018,Avg,,5.0,,
hrastnik,Zasavska,2018,Avg,18.0,2.0,,
iskrba,Jugovzhodna Slovenija,2018,Avg,13.0,1.0,1.0,
koper,Obalno-kraška,2018,Avg,17.0,,14.0,16.0
kranj,Gorenjska,2018,Avg,17.0,,,
lj bezigrad,Osrednjeslovenska,2018,Avg,22.0,1.0,19.0,25.0
lj biotehniska,Osrednjeslovenska,2018,Avg,17.0,,,
lj center,Osrednjeslovenska,2018,Avg,28.0,1.0,,
lj gospodarsko,Osrednjeslovenska,2018,Avg,18.0,,,
maribor,Podravska,2018,Avg,18.0,,13.0,33.0
mb vrbanski,Podravska,2018,Avg,18.0,,6.0,8.0
medvode,Osrednjeslovenska,2018,Avg,21.0,,,
miklavz,Podravska,2018,Avg,20.0,,,
morsko,Goriška,2018,Avg,12.0,,,
ms cankarjeva,Pomurska,2018,Avg,17.0,,,
ms rakican,Pomurska,2018,Avg,17.0,,8.0,12.0
ng grcna,Goriška,2018,Avg,18.0,,,
nova gorica,Goriška,2018,Avg,16.0,,19.0,33.0
novo mesto,Jugovzhodna Slovenija,2018,Avg,17.0,,,
pesje,Posavska,2018,Avg,20.0,3.0,,
ptuj,Podravska,2018,Avg,19.0,,,
ruse,Podravska,2018,Avg,16.0,,,
skale,Savinjska,2018,Avg,18.0,2.0,4.0,3.0
sostanj,Savinjska,2018,Avg,19.0,3.0,10.0,26.0
sv. mohor,Savinjska,2018,Avg,,5.0,3.0,4.0
topolsica,Savinjska,2018,Avg,,5.0,,
trbovlje,Zasavska,2018,Avg,18.0,4.0,10.0,13.0
velenje,Savinjska,2018,Avg,18.0,4.0,,
veliki vrh,Savinjska,2018,Avg,,7.0,,
vnajnarje,Osrednjeslovenska,2018,Avg,,,,
zagorje,Zasavska,2018,Avg,28.0,5.0,13.0,19.0
zavodnje,Savinjska,2018,Avg,,4.0,4.0,5.0
zerjav,Koroška,2018,Avg,18.0,,,
ce gaji,Savinjska,2018,Sep,28.0,5.0,9.0,37.0
ce mariborska,Savinjska,2018,Sep,21.0,,,
celje,Savinjska,2018,Sep,19.0,4.0,22.0,35.0
gorenje polje,Goriška,2018,Sep,11.0,,,
graska gora,Koroška,2018,Sep,,3.0,,
hrastnik,Zasavska,2018,Sep,16.0,3.0,,
iskrba,Jugovzhodna Slovenija,2018,Sep,21.0,2.0,1.0,
koper,Obalno-kraška,2018,Sep,17.0,,15.0,18.0
kranj,Gorenjska,2018,Sep,16.0,,,
lj bezigrad,Osrednjeslovenska,2018,Sep,20.0,4.0,24.0,35.0
lj biotehniska,Osrednjeslovenska,2018,Sep,16.0,,,
lj center,Osrednjeslovenska,2018,Sep,25.0,2.0,,
lj gospodarsko,Osrednjeslovenska,2018,Sep,19.0,,,
maribor,Podravska,2018,Sep,18.0,,11.0,35.0
mb vrbanski,Podravska,2018,Sep,12.0,,5.0,7.0
medvode,Osrednjeslovenska,2018,Sep,6.0,,,
miklavz,Podravska,2018,Sep,17.0,,,
morsko,Goriška,2018,Sep,9.0,,,
ms cankarjeva,Pomurska,2018,Sep,18.0,,,
ms rakican,Pomurska,2018,Sep,16.0,,9.0,14.0
ng grcna,Goriška,2018,Sep,19.0,,,
nova gorica,Goriška,2018,Sep,15.0,,19.0,34.0
novo mesto,Jugovzhodna Slovenija,2018,Sep,16.0,,,
pesje,Posavska,2018,Sep,17.0,2.0,,
ptuj,Podravska,2018,Sep,15.0,,,
ruse,Podravska,2018,Sep,11.0,,,
skale,Savinjska,2018,Sep,15.0,3.0,4.0,3.0
sostanj,Savinjska,2018,Sep,17.0,3.0,8.0,18.0
sv. mohor,Savinjska,2018,Sep,,6.0,5.0,6.0
topolsica,Savinjska,2018,Sep,,4.0,,
trbovlje,Zasavska,2018,Sep,20.0,4.0,12.0,16.0
velenje,Savinjska,2018,Sep,16.0,4.0,,
veliki vrh,Savinjska,2018,Sep,,3.0,,
vnajnarje,Osrednjeslovenska,2018,Sep,,,,
zagorje,Zasavska,2018,Sep,37.0,8.0,19.0,28.0
zavodnje,Savinjska,2018,Sep,,5.0,4.0,5.0
zerjav,Koroška,2018,Sep,18.0,,,
ce gaji,Savinjska,2018,Okt,33.0,3.0,17.0,43.0
ce mariborska,Savinjska,2018,Okt,35.0,,,
celje,Savinjska,2018,Okt,35.0,4.0,27.0,57.0
gorenje polje,Goriška,2018,Okt,21.0,,,
graska gora,Koroška,2018,Okt,,6.0,,
hrastnik,Zasavska,2018,Okt,27.0,5.0,,
iskrba,Jugovzhodna Slovenija,2018,Okt,14.0,1.0,2.0,
koper,Obalno-kraška,2018,Okt,21.0,,17.0,20.0
kranj,Gorenjska,2018,Okt,16.0,,,
lj bezigrad,Osrednjeslovenska,2018,Okt,33.0,6.0,30.0,54.0
lj biotehniska,Osrednjeslovenska,2018,Okt,26.0,,,
lj center,Osrednjeslovenska,2018,Okt,41.0,2.0,42.0,100.0
lj gospodarsko,Osrednjeslovenska,2018,Okt,29.0,,,
maribor,Podravska,2018,Okt,30.0,,11.0,36.0
mb vrbanski,Podravska,2018,Okt,24.0,,9.0,12.0
medvode,Osrednjeslovenska,2018,Okt,19.0,,,
miklavz,Podravska,2018,Okt,32.0,,,
morsko,Goriška,2018,Okt,18.0,,,
ms cankarjeva,Pomurska,2018,Okt,33.0,,,
ms rakican,Pomurska,2018,Okt,33.0,,12.0,20.0
ng grcna,Goriška,2018,Okt,25.0,,,
nova gorica,Goriška,2018,Okt,22.0,,24.0,51.0
novo mesto,Jugovzhodna Slovenija,2018,Okt,31.0,,,
pesje,Posavska,2018,Okt,23.0,4.0,,
ptuj,Podravska,2018,Okt,30.0,,,
ruse,Podravska,2018,Okt,22.0,,,
skale,Savinjska,2018,Okt,22.0,6.0,7.0,6.0
sostanj,Savinjska,2018,Okt,27.0,2.0,9.0,15.0
sv. mohor,Savinjska,2018,Okt,,6.0,7.0,8.0
topolsica,Savinjska,2018,Okt,,3.0,,
trbovlje,Zasavska,2018,Okt,42.0,3.0,16.0,35.0
velenje,Savinjska,2018,Okt,24.0,5.0,,
veliki vrh,Savinjska,2018,Okt,,9.0,,
vnajnarje,Osrednjeslovenska,2018,Okt,,,,
zagorje,Zasavska,2018,Okt,54.0,6.0,23.0,40.0
zavodnje,Savinjska,2018,Okt,,5.0,6.0,7.0
zerjav,Koroška,2018,Okt,25.0,,,
ce gaji,Savinjska,2018,Nov,29.0,3.0,18.0,38.0
ce mariborska,Savinjska,2018,Nov,34.0,,,
celje,Savinjska,2018,Nov,33.0,3.0,26.0,50.0
gorenje polje,Goriška,2018,Nov,13.0,,,
graska gora,Koroška,2018,Nov,,3.0,,
hrastnik,Zasavska,2018,Nov,23.0,5.0,,
iskrba,Jugovzhodna Slovenija,2018,Nov,10.0,1.0,3.0,
koper,Obalno-kraška,2018,Nov,16.0,,17.0,22.0
kranj,Gorenjska,2018,Nov,25.0,,,
lj bezigrad,Osrednjeslovenska,2018,Nov,24.0,5.0,24.0,41.0
lj biotehniska,Osrednjeslovenska,2018,Nov,19.0,,,
lj center,Osrednjeslovenska,2018,Nov,31.0,2.0,36.0,109.0
lj gospodarsko,Osrednjeslovenska,2018,Nov,21.0,,,
maribor,Podravska,2018,Nov,33.0,,30.0,78.0
mb vrbanski,Podravska,2018,Nov,25.0,,19.0,27.0
medvode,Osrednjeslovenska,2018,Nov,20.0,,,
miklavz,Podravska,2018,Nov,31.0,,,
morsko,Goriška,2018,Nov,12.0,,,
ms cankarjeva,Pomurska,2018,Nov,34.0,,,
ms rakican,Pomurska,2018,Nov,34.0,,14.0,22.0
ng grcna,Goriška,2018,Nov,21.0,,,
nova gorica,Goriška,2018,Nov,18.0,,21.0,37.0
novo mesto,Jugovzhodna Slovenija,2018,Nov,26.0,,,
pesje,Posavska,2018,Nov,18.0,3.0,,
ptuj,Podravska,2018,Nov,29.0,,,
ruse,Podravska,2018,Nov,30.0,,,
skale,Savinjska,2018,Nov,17.0,3.0,9.0,10.0
sostanj,Savinjska,2018,Nov,23.0,2.0,13.0,17.0
sv. mohor,Savinjska,2018,Nov,,6.0,9.0,10.0
topolsica,Savinjska,2018,Nov,,4.0,,
trbovlje,Zasavska,2018,Nov,42.0,4.0,15.0,30.0
velenje,Savinjska,2018,Nov,21.0,4.0,,
veliki vrh,Savinjska,2018,Nov,,3.0,,
vnajnarje,Osrednjeslovenska,2018,Nov,,,,
zagorje,Zasavska,2018,Nov,32.0,4.0,21.0,40.0
zavodnje,Savinjska,2018,Nov,,3.0,7.0,9.0
zerjav,Koroška,2018,Nov,24.0,,,
ce gaji,Savinjska,2018,Dec,59.0,5.0,23.0,102.0
ce mariborska,Savinjska,2018,Dec,57.0,,,
celje,Savinjska,2018,Dec,50.0,6.0,40.0,118.0
gorenje polje,Goriška,2018,Dec,19.0,,,
graska gora,Koroška,2018,Dec,,4.0,,
hrastnik,Zasavska,2018,Dec,34.0,6.0,,
iskrba,Jugovzhodna Slovenija,2018,Dec,10.0,2.0,3.0,
koper,Obalno-kraška,2018,Dec,23.0,,27.0,36.0
kranj,Gorenjska,2018,Dec,33.0,,,
lj bezigrad,Osrednjeslovenska,2018,Dec,48.0,6.0,38.0,108.0
lj biotehniska,Osrednjeslovenska,2018,Dec,38.0,,,
lj center,Osrednjeslovenska,2018,Dec,62.0,1.0,48.0,194.0
lj gospodarsko,Osrednjeslovenska,2018,Dec,49.0,,,
maribor,Podravska,2018,Dec,42.0,,39.0,112.0
mb vrbanski,Podravska,2018,Dec,29.0,,27.0,42.0
medvode,Osrednjeslovenska,2018,Dec,36.0,,,
miklavz,Podravska,2018,Dec,54.0,,,
morsko,Goriška,2018,Dec,17.0,,,
ms cankarjeva,Pomurska,2018,Dec,56.0,,,
ms rakican,Pomurska,2018,Dec,48.0,,26.0,49.0
ng grcna,Goriška,2018,Dec,31.0,,,
nova gorica,Goriška,2018,Dec,30.0,,39.0,100.0
novo mesto,Jugovzhodna Slovenija,2018,Dec,43.0,,,
pesje,Posavska,2018,Dec,16.0,2.0,,
ptuj,Podravska,2018,Dec,38.0,,,
ruse,Podravska,2018,Dec,33.0,,,
skale,Savinjska,2018,Dec,17.0,4.0,13.0,15.0
sostanj,Savinjska,2018,Dec,27.0,1.0,17.0,27.0
sv. mohor,Savinjska,2018,Dec,,6.0,14.0,15.0
topolsica,Savinjska,2018,Dec,,2.0,,
trbovlje,Zasavska,2018,Dec,40.0,3.0,24.0,56.0
velenje,Savinjska,2018,Dec,26.0,3.0,,
veliki vrh,Savinjska,2018,Dec,,3.0,,
vnajnarje,Osrednjeslovenska,2018,Dec,,,,
zagorje,Zasavska,2018,Dec,50.0,5.0,26.0,56.0
zavodnje,Savinjska,2018,Dec,,2.0,8.0,9.0
zerjav,Koroška,2018,Dec,31.0,,,
ce gaji,Savinjska,2019,Jan,48.0,8.0,35.0,71.0
ce mariborska,Savinjska,2019,Jan,53.0,,,
celje,Savinjska,2019,Jan,42.0,4.0,43.0,88.0
gorenje polje,Goriška,2019,Jan,27.0,,,
graska gora,Koroška,2019,Jan,,4.0,,
hrastnik,Zasavska,2019,Jan,28.0,2.0,,
iskrba,Jugovzhodna Slovenija,2019,Jan,11.0,0.6,4.0,
koper,Obalno-kraška,2019,Jan,17.0,,20.0,24.0
kranj,Gorenjska,2019,Jan,33.0,,,
lj bezigrad,Osrednjeslovenska,2019,Jan,36.0,7.0,39.0,72.0
lj biotehniska,Osrednjeslovenska,2019,Jan,31.0,,,
lj center,Osrednjeslovenska,2019,Jan,52.0,9.0,52.0,148.0
lj gospodarsko,Osrednjeslovenska,2019,Jan,37.0,,,
maribor,Podravska,2019,Jan,37.0,,36.0,83.0
mb vrbanski,Podravska,2019,Jan,25.0,,28.0,35.0
medvode,Osrednjeslovenska,2019,Jan,31.0,,,
miklavz,Podravska,2019,Jan,46.0,,,
morsko,Goriška,2019,Jan,19.0,,,
ms cankarjeva,Pomurska,2019,Jan,46.0,,,
ms rakican,Pomurska,2019,Jan,35.0,,20.0,26.0
ng grcna,Goriška,2019,Jan,32.0,,,
nova gorica,Goriška,2019,Jan,30.0,,42.0,102.0
novo mesto,Jugovzhodna Slovenija,2019,Jan,40.0,,,
pesje,Posavska,2019,Jan,17.0,2.0,,
ptuj,Podravska,2019,Jan,32.0,,,
ruse,Podravska,2019,Jan,25.0,,,
skale,Savinjska,2019,Jan,16.0,6.0,11.0,12.0
sostanj,Savinjska,2019,Jan,25.0,2.0,16.0,21.0
sv. mohor,Savinjska,2019,Jan,,5.0,9.0,10.0
topolsica,Savinjska,2019,Jan,,4.0,,
trbovlje,Zasavska,2019,Jan,26.0,5.0,24.0,41.0
velenje,Savinjska,2019,Jan,25.0,3.0,,
veliki vrh,Savinjska,2019,Jan,,4.0,,
zagorje,Zasavska,2019,Jan,43.0,3.0,28.0,49.0
zavodnje,Savinjska,2019,Jan,,4.0,7.0,8.0
zerjav,Koroška,2019,Jan,28.0,,,
ce gaji,Savinjska,2019,Feb,43.0,6.0,30.0,65.0
ce mariborska,Savinjska,2019,Feb,55.0,,,
celje,Savinjska,2019,Feb,50.0,3.0,42.0,92.0
gorenje polje,Goriška,2019,Feb,36.0,,,
graska gora,Koroška,2019,Feb,,4.0,,
hrastnik,Zasavska,2019,Feb,33.0,2.0,,
iskrba,Jugovzhodna Slovenija,2019,Feb,11.0,0.8,3.0,
koper,Obalno-kraška,2019,Feb,25.0,,24.0,28.0
kranj,Gorenjska,2019,Feb,31.0,,,
lj bezigrad,Osrednjeslovenska,2019,Feb,39.0,5.0,44.0,89.0
lj biotehniska,Osrednjeslovenska,2019,Feb,32.0,,,
lj center,Osrednjeslovenska,2019,Feb,51.0,4.0,56.0,168.0
lj gospodarsko,Osrednjeslovenska,2019,Feb,44.0,,,
maribor,Podravska,2019,Feb,33.0,,38.0,81.0
mb vrbanski,Podravska,2019,Feb,25.0,,25.0,31.0
medvode,Osrednjeslovenska,2019,Feb,33.0,,,
miklavz,Podravska,2019,Feb,47.0,,,
morsko,Goriška,2019,Feb,28.0,,,
ms cankarjeva,Pomurska,2019,Feb,44.0,,,
ms rakican,Pomurska,2019,Feb,34.0,,21.0,26.0
ng grcna,Goriška,2019,Feb,39.0,,,
nova gorica,Goriška,2019,Feb,37.0,,39.0,79.0
novo mesto,Jugovzhodna Slovenija,2019,Feb,36.0,,,
pesje,Posavska,2019,Feb,20.0,3.0,,
ptuj,Podravska,2019,Feb,36.0,,,
ruse,Podravska,2019,Feb,25.0,,,
skale,Savinjska,2019,Feb,19.0,5.0,11.0,12.0
sostanj,Savinjska,2019,Feb,29.0,3.0,16.0,21.0
sv. mohor,Savinjska,2019,Feb,,6.0,9.0,10.0
topolsica,Savinjska,2019,Feb,,6.0,,
trbovlje,Zasavska,2019,Feb,44.0,5.0,30.0,55.0
velenje,Savinjska,2019,Feb,27.0,3.0,,
veliki vrh,Savinjska,2019,Feb,,4.0,,
zagorje,Zasavska,2019,Feb,49.0,3.0,31.0,58.0
zavodnje,Savinjska,2019,Feb,,4.0,8.0,9.0
zerjav,Koroška,2019,Feb,26.0,,,
ce gaji,Savinjska,2019,Mar,24.0,5.0,18.0,42.0
ce mariborska,Savinjska,2019,Mar,32.0,,,
celje,Savinjska,2019,Mar,30.0,6.0,32.0,55.0
gorenje polje,Goriška,2019,Mar,21.0,,,
graska gora,Koroška,2019,Mar,,4.0,,
hrastnik,Zasavska,2019,Mar,20.0,1.0,,
iskrba,Jugovzhodna Slovenija,2019,Mar,9.0,0.6,2.0,
koper,Obalno-kraška,2019,Mar,18.0,,18.0,21.0
kranj,Gorenjska,2019,Mar,21.0,,,
lj bezigrad,Osrednjeslovenska,2019,Mar,21.0,2.0,28.0,37.0
lj biotehniska,Osrednjeslovenska,2019,Mar,18.0,,,
lj center,Osrednjeslovenska,2019,Mar,30.0,3.0,51.0,101.0
lj gospodarsko,Osrednjeslovenska,2019,Mar,23.0,,,
maribor,Podravska,2019,Mar,20.0,,30.0,54.0
mb vrbanski,Podravska,2019,Mar,15.0,,17.0,18.0
medvode,Osrednjeslovenska,2019,Mar,22.0,,,
miklavz,Podravska,2019,Mar,24.0,,,
morsko,Goriška,2019,Mar,17.0,,,
ms cankarjeva,Pomurska,2019,Mar,26.0,,,
ms rakican,Pomurska,2019,Mar,19.0,,14.0,17.0
ng grcna,Goriška,2019,Mar,24.0,,,
nova gorica,Goriška,2019,Mar,23.0,,31.0,50.0
novo mesto,Jugovzhodna Slovenija,2019,Mar,23.0,,,
pesje,Posavska,2019,Mar,16.0,3.0,,
ptuj,Podravska,2019,Mar,20.0,,,
ruse,Podravska,2019,Mar,17.0,,,
skale,Savinjska,2019,Mar,15.0,5.0,6.0,6.0
sostanj,Savinjska,2019,Mar,19.0,2.0,12.0,15.0
sv. mohor,Savinjska,2019,Mar,,6.0,6.0,5.0
topolsica,Savinjska,2019,Mar,,4.0,,
trbovlje,Zasavska,2019,Mar,26.0,5.0,26.0,41.0
velenje,Savinjska,2019,Mar,18.0,3.0,,
veliki vrh,Savinjska,2019,Mar,,3.0,,
zagorje,Zasavska,2019,Mar,27.0,3.0,25.0,37.0
zavodnje,Savinjska,2019,Mar,,4.0,5.0,6.0
zerjav,Koroška,2019,Mar,19.0,,,
ce gaji,Savinjska,2019,Apr,27.0,10.0,10.0,43.0
ce mariborska,Savinjska,2019,Apr,30.0,,,
celje,Savinjska,2019,Apr,30.0,3.0,27.0,40.0
gorenje polje,Goriška,2019,Apr,18.0,,,
graska gora,Koroška,2019,Apr,,4.0,,
hrastnik,Zasavska,2019,Apr,23.0,1.0,,
iskrba,Jugovzhodna Slovenija,2019,Apr,16.0,0.6,2.0,
koper,Obalno-kraška,2019,Apr,20.0,,16.0,18.0
kranj,Gorenjska,2019,Apr,19.0,,,
lj bezigrad,Osrednjeslovenska,2019,Apr,22.0,3.0,23.0,33.0
lj biotehniska,Osrednjeslovenska,2019,Apr,20.0,,,
lj center,Osrednjeslovenska,2019,Apr,33.0,4.0,46.0,92.0
lj gospodarsko,Osrednjeslovenska,2019,Apr,25.0,,,
maribor,Podravska,2019,Apr,26.0,,25.0,43.0
mb vrbanski,Podravska,2019,Apr,21.0,,16.0,17.0
medvode,Osrednjeslovenska,2019,Apr,19.0,,,
miklavz,Podravska,2019,Apr,26.0,,,
morsko,Goriška,2019,Apr,15.0,,,
ms cankarjeva,Pomurska,2019,Apr,27.0,,,
ms rakican,Pomurska,2019,Apr,24.0,,10.0,12.0
ng grcna,Goriška,2019,Apr,21.0,,,
nova gorica,Goriška,2019,Apr,20.0,,24.0,35.0
novo mesto,Jugovzhodna Slovenija,2019,Apr,24.0,,,
pesje,Posavska,2019,Apr,20.0,4.0,,
ptuj,Podravska,2019,Apr,25.0,,,
ruse,Podravska,2019,Apr,20.0,,,
skale,Savinjska,2019,Apr,19.0,6.0,5.0,7.0
sostanj,Savinjska,2019,Apr,22.0,3.0,8.0,9.0
sv. mohor,Savinjska,2019,Apr,,6.0,4.0,5.0
topolsica,Savinjska,2019,Apr,,3.0,,
trbovlje,Zasavska,2019,Apr,30.0,5.0,24.0,38.0
velenje,Savinjska,2019,Apr,20.0,5.0,,
veliki vrh,Savinjska,2019,Apr,,2.0,,
zagorje,Zasavska,2019,Apr,25.0,4.0,20.0,30.0
zavodnje,Savinjska,2019,Apr,,4.0,5.0,6.0
zerjav,Koroška,2019,Apr,22.0,,,
ce gaji,Savinjska,2019,Maj,13.0,11.0,5.0,45.0
ce mariborska,Savinjska,2019,Maj,14.0,,,
celje,Savinjska,2019,Maj,15.0,5.0,16.0,22.0
gorenje polje,Goriška,2019,Maj,8.0,,,
graska gora,Koroška,2019,Maj,,4.0,,
hrastnik,Zasavska,2019,Maj,10.0,1.0,,
iskrba,Jugovzhodna Slovenija,2019,Maj,7.0,0.5,2.0,
koper,Obalno-kraška,2019,Maj,10.0,,13.0,15.0
kranj,Gorenjska,2019,Maj,10.0,,,
lj bezigrad,Osrednjeslovenska,2019,Maj,10.0,5.0,18.0,24.0
lj biotehniska,Osrednjeslovenska,2019,Maj,9.0,,,
lj center,Osrednjeslovenska,2019,Maj,20.0,3.0,34.0,64.0
lj gospodarsko,Osrednjeslovenska,2019,Maj,12.0,,,
maribor,Podravska,2019,Maj,14.0,,20.0,38.0
mb vrbanski,Podravska,2019,Maj,11.0,,12.0,13.0
medvode,Osrednjeslovenska,2019,Maj,9.0,,,
miklavz,Podravska,2019,Maj,13.0,,,
morsko,Goriška,2019,Maj,8.0,,,
ms cankarjeva,Pomurska,2019,Maj,13.0,,,
ms rakican,Pomurska,2019,Maj,11.0,,7.0,8.0
ng grcna,Goriška,2019,Maj,13.0,,,
nova gorica,Goriška,2019,Maj,10.0,,19.0,27.0
novo mesto,Jugovzhodna Slovenija,2019,Maj,11.0,,,
pesje,Posavska,2019,Maj,10.0,6.0,,
ptuj,Podravska,2019,Maj,12.0,,,
ruse,Podravska,2019,Maj,11.0,,,
skale,Savinjska,2019,Maj,9.0,5.0,4.0,9.0
sostanj,Savinjska,2019,Maj,10.0,3.0,5.0,6.0
sv. mohor,Savinjska,2019,Maj,,7.0,3.0,4.0
topolsica,Savinjska,2019,Maj,,4.0,,
trbovlje,Zasavska,2019,Maj,11.0,6.0,14.0,21.0
velenje,Savinjska,2019,Maj,9.0,2.0,,
veliki vrh,Savinjska,2019,Maj,,2.0,,
zagorje,Zasavska,2019,Maj,12.0,3.0,14.0,21.0
zavodnje,Savinjska,2019,Maj,,2.0,3.0,4.0
zerjav,Koroška,2019,Maj,14.0,,,
ce gaji,Savinjska,2019,Jun,23.0,9.0,3.0,50.0
ce mariborska,Savinjska,2019,Jun,21.0,,,
celje,Savinjska,2019,Jun,22.0,3.0,16.0,21.0
gorenje polje,Goriška,2019,Jun,16.0,,,
graska gora,Koroška,2019,Jun,,5.0,,
