Postaja,Regija,Leto,Mesec,PM10,SO2,NO2,NOX
skale,Savinjska,1998,Avg,,7.0,26.0,30.0
sostanj,Savinjska,1998,Avg,,17.0,,
topolsica,Savinjska,1998,Avg,,15.0,,
trbovlje,Zasavska,1998,Avg,,18.0,23.0,36.0
velenje,Savinjska,1998,Avg,,4.0,,
veliki vrh,Savinjska,1998,Avg,,35.0,,
vnajnarje,Osrednjeslovenska,1998,Avg,,10.0,1.0,1.0
zagorje,Zasavska,1998,Avg,,37.0,,
zavodnje,Savinjska,1998,Avg,,30.0,5.0,6.0
celje,Savinjska,1998,Sep,,10.0,20.0,32.0
dobovec,Zasavska,1998,Sep,,37.0,,
eis celje,Savinjska,1998,Sep,,12.0,,
eis krsko,Posavska,1998,Sep,,14.0,,
graska gora,Koroška,1998,Sep,,28.0,,
hrastnik,Zasavska,1998,Sep,,17.0,,
